id,brand,size,color,gender,amount,typeJacket,kind,season,price,material,"jacketdatafull — копияcol"
55,FENDI,XXS,black,female,34,Outerwear,Oversize,Winter,79990,polyamide,NULL
56,FENDI,M,white,female,54,Outerwear,Oversize,Winter,79990,nylon,NULL
57,FENDI,L,white,male,65,Outerwear,Oversize,Winter,79990,nylon,NULL
58,FENDI,S,red,male,3,Outerwear,Oversize,Winter,79990,polyamide,NULL
59,FENDI,XS,red,male,3,Outerwear,Sports,Winter,79990,polyamide,NULL
60,FENDI,XXS,white,male,4,Outerwear,Sports,Winter,79990,polyamide,NULL
61,FENDI,M,yellow,male,5,Outerwear,Sports,Winter,79990,polyamide,NULL
62,MONCLER,L,black,female,6,Outerwear,Classic,Winter,129990,polyester,NULL
63,MONCLER,S,red,female,43,Outerwear,Classic,Winter,129990,nylon,NULL
64,MONCLER,XS,white,female,43,Outerwear,Classic,Winter,129990,polyester,NULL
65,MONCLER,XXS,yellow,female,43,Outerwear,Classic,Winter,129990,polyester,NULL
66,MONCLER,M,yellow,female,54,Outerwear,Classic,Winter,129990,polyester,NULL
67,MONCLER,L,white,male,65,Outerwear,Sports,Winter,129990,polyamide,NULL
68,MONCLER,S,red,male,76,Outerwear,Oversize,Winter,129990,polyamide,NULL
69,MONCLER,XS,white,male,32,Outerwear,Oversize,Winter,129990,polyamide,NULL
70,MONCLER,XXS,white,male,2,Outerwear,Oversize,Winter,129990,polyamide,NULL
71,MONCLER,M,white,female,2,Outerwear,Oversize,Winter,129990,polyamide,NULL
72,VERSACE,L,red,female,3,Outerwear,Classic,Winter,49990,polyester,NULL
73,VERSACE,S,yellow,female,4,Outerwear,Classic,Winter,49990,polyester,NULL
74,VERSACE,XS,yellow,female,5,Outerwear,Classic,Winter,49990,nylon,NULL
75,VERSACE,XXS,black,male,6,Outerwear,Classic,Winter,49990,polyester,NULL
76,VERSACE,M,white,male,54,Outerwear,Classic,Winter,49990,nylon,NULL
77,VERSACE,L,white,male,34,Outerwear,Sports,Winter,49990,polyamide,NULL
78,VERSACE,S,white,male,54,Outerwear,Sports,Winter,49990,nylon,NULL
79,VERSACE,XS,red,male,43,Outerwear,Sports,Winter,49990,nylon,NULL
80,VERSACE,XXS,yellow,female,43,Outerwear,Oversize,Winter,49990,polyamide,NULL
81,VERSACE,M,white,female,3,Outerwear,Sports,Winter,49990,nylon,NULL
